food_name,serving_size_g,energy_kcal,carbohydrate_g,total_sugars_g,fat_g,protein_g,calcium_mg,phosph_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,transfat_g,class
참치죽,800.0,658.4603999999999,105.9396,0.0,13.8528,26.0832,63.7806,341.2812,1264.146,851.6508000000001,0.0,4.9842,2.5428,40.755,0.0,03011008
채소죽,800.0,514.8324,100.7952,0.0,5.1294,11.8939,227.2623,290.1846,1211.634,1377.634,0.0,2.730700000000001,2.5149,24.2858,0.0,03011009
팥죽,600.0,482.652,100.74,4.794,0.564,20.592,90.99600000000001,76.74000000000001,1026.114,940.818,0.0,6.03,5.154,0.0,0.0,03011010
호박죽,600.0,430.326,111.408,25.776,0.72,8.112,18.174,165.36,911.7180000000001,1858.902,0.0,1.98,2.58,0.0,0.0,03011011
콘스프,400.0,280.482,35.372,0.0,14.016,5.822,0.0,0.0,1319.462,0.0,0.0,0.0,0.0,40.706,0.0,03012001
토마토스프,400.0,382.4119999999999,12.418,0.0,25.402,18.2,0.0,0.0,1544.308,0.0,0.0,0.0,0.0,70.8,0.0,03012002
굴국,450.0,194.4225,11.4435,0.0,8.649000000000003,22.8015,270.9675,400.9725,1775.97,759.1500000000001,0.0,5.724,13.6125,45.0,0.0,04011001
김치국,450.0,85.9995,13.005,0.0,3.375,6.0345,111.348,144.8775,1646.1495,580.185,0.0,1.917,1.1745,0.0,0.0,04011002
달걀국,450.0,193.041,5.350499999999999,0.0,11.1105,16.1865,65.74950000000001,225.2025,1263.9645,229.572,0.0,2.0835,1.809,641.25,0.0,04011003
감자국,700.0,220.073,37.00899999999999,0.0,2.163,16.996,466.578,462.5949999999999,1734.152,1855.315,0.0,5.334,2.695,87.78,0.0,04011004
미역국,500.0,50.16499999999999,4.694999999999999,0.0,4.35,2.700000000000001,112.695,43.92,1527.55,658.7149999999999,0.0,1.11,0.4450000000000001,0.0,0.0,04011005
바지락조개국,550.0,159.247,8.5085,0.0,1.8425,25.828,168.949,388.487,1650.847,580.0629999999999,0.0,29.4635,2.299,145.2,0.0,04011006
소고기무국,400.0,125.224,8.136,0.0,4.715999999999999,13.512,60.644,131.528,1095.184,662.8320000000001,0.0,3.988,1.712,28.56,0.0,04011007
소고기미역국,650.0,154.9275,6.909500000000001,0.0,6.825000000000001,20.228,123.383,207.129,2006.875,912.73,0.0,3.5685,6.0645,41.34,0.0,04011008
순대국,800.0,550.6639999999999,22.81600000000001,0.0,32.93599999999999,41.224,125.032,208.528,1532.592,592.3439999999999,0.0,10.792,4.416,774.7679999999999,0.0,04011010
어묵국,600.0,252.0900000000001,37.164,0.0,4.206,22.854,599.2500000000001,468.036,2022.744,1696.266,0.0,6.774,2.772,100.368,0.0,04011011
오징어국,500.0,169.035,10.595,0.0,2.355,27.74000000000001,81.87,409.095,1573.42,810.7100000000002,0.0,2.345,2.745,296.4,0.0,04011012
토란국,250.0,462.97,85.16,0.0,7.0725,23.8875,318.3475,465.3675,700.6700000000001,2625.184999999999,0.0,5.645,2.6925,37.72499999999999,0.0,04011013
탕국,250.0,94.23750000000001,2.575,0.0,4.32,12.0775,286.0475,220.635,663.0474999999999,250.6125,0.0,3.5975,1.27,35.475,0.0,04011014
홍합미역국,650.0,168.883,14.131,0.0,6.4285,19.9875,289.38,226.2845,2066.272,1549.6845,0.0,11.0955,3.0095,79.625,0.0,04011015
황태해장국,600.0,184.224,6.389999999999999,0.0,7.218000000000001,25.212,156.402,314.214,1526.82,661.332,0.0,2.19,1.002,91.608,0.0,04011016
근대된장국,450.0,109.2645,8.136,0.0,3.213,15.309,621.1035,436.374,1453.194,1211.004,0.0,6.12,2.367,112.86,0.0,04012001
미소된장국,150.0,37.9665,1.695,0.0,1.746,4.1385,98.5845,88.75050000000002,511.98,156.7305,0.0,1.3785,0.5414999999999999,15.675,0.0,04012002
배추된장국,700.0,121.534,11.039,0.0,3.625999999999999,13.958,103.803,172.074,2321.48,771.841,0.0,3.528,4.542999999999999,25.97,0.0,04012003
뼈다귀해장국 ,1000.0,715.9799999999999,29.71,0.0,45.37,53.63,239.71,412.34,3093.6,1676.56,0.0,5.57,5.22,216.24,0.0,04012004
선지(해장)국,1000.0,314.42,22.29,0.0,5.029999999999999,48.09999999999999,84.31,105.25,3053.19,684.1,0.0,106.24,13.76,149.6,0.0,04012005
콩나물국,400.0,22.53,1.261,0.0,1.422,1.822,33.49,44.86,752.425,82.798,8.515,0.479,0.25,7.41,0.0,04012006
시금치된장국,400.0,121.448,9.896,0.0,3.388,16.688,624.972,444.756,1381.248,1324.58,0.0,7.275999999999999,2.596,117.04,0.0,04012007
시래기된장국,450.0,99.12149999999997,10.683,0.0,2.5425,10.017,392.8275,223.416,1535.6295,484.551,0.0,4.401000000000001,1.9755,37.62,0.0,04012008
쑥된장국,450.0,117.315,17.1655,0.0,2.552,13.211,502.7385,317.042,1799.6,1434.719,0.0,5.9455,1.826,68.97,0.0,04012009
아욱된장국,450.0,103.527,9.963,0.0,2.9385,11.997,292.986,262.602,1462.1265,850.8285,0.0,4.1355,1.8225,37.62,0.0,04012010
우거지된장국,450.0,85.97250000000001,13.716,0.0,1.8135,6.444,89.30250000000001,122.0625,1593.99,611.8425,0.0,1.5075,1.4355,0.0,0.0,04012011
우거지해장국,600.0,158.496,14.8564,0.0,5.725200000000001,14.1856,103.792,237.172,1972.088,664.716,0.0,3.2396,2.4492,13.26,0.0,04012012
우렁된장국,500.0,245.275,21.19,0.0,7.049999999999999,24.72,2105.3,270.925,2150.425,745.05,0.0,11.11,5.035,22.95,0.0,04012013
갈비탕,600.0,240.396,8.208,0.0,14.334,18.672,55.314,204.57,1688.43,556.9140000000001,0.0,2.640000000000001,4.061999999999999,189.84,0.0,04013002
감자탕,900.0,963.7085000000001,49.6375,0.9006,58.2825,60.553,628.4820000000001,767.8374999999999,2439.3815,2414.9,0.0,6.688,8.075,143.6875,0.0,04013003
곰탕,300.0,181.416,15.498,0.0,5.436000000000001,16.593,43.095,148.338,713.6429999999999,425.652,0.0,3.885000000000001,1.971,33.66,0.0,04013004
매운탕,600.0,402.792,18.828,1.548,21.564,37.164,118.302,437.088,2130.954,1522.5,0.0,3.33,2.616,148.77,0.0,04013005
꼬리곰탕,700.0,750.6948000000001,10.9344,0.0,52.80270000000001,54.86630000000001,96.7748,552.8103,764.7313,817.9561,0.0,6.3851,12.2409,361.2305,0.0,04013006
꽃게탕,600.0,240.654,20.772,0.0,5.49,31.704,273.9659999999999,443.04,2268.858,1369.602,0.0,8.639999999999997,8.322,207.9,0.0,04013007
낙지탕,600.0,186.102,11.766,0.0,2.73,29.214,102.324,375.39,1711.122,910.2959999999999,0.0,3.264,4.494,249.6,0.0,04013008
내장탕,700.0,549.808,13.699,0.0,31.507,56.973,268.4780000000001,559.426,2383.073,1241.548,0.0,12.922,14.231,467.04,0.0,04013009
닭곰탕,650.0,527.7025000000001,15.392,0.0,24.141,58.877,119.6065,757.3799999999999,1005.186,1691.625,0.0,11.648,6.831499999999999,230.49,0.0,04013010
닭볶음탕,300.0,371.811,19.173,2.016,17.319,33.846,39.84,352.902,1030.455,638.994,0.0,2.735999999999999,4.167000000000001,119.25,0.0,04013011
지리탕,600.0,260.5915000000001,10.5235,0.0,8.359,38.34350000000001,199.8425,475.8195,1685.164,1581.45,0.0,2.580499999999999,1.8655,154.154,0.0,04013012
도가니탕,800.0,563.648,5.584,0.0,34.76799999999999,54.6,59.712,506.072,599.272,725.608,0.0,5.44,13.28,192.64,0.0,04013013
삼계탕,1000.0,881.3245,44.08000000000001,0.0,40.57449999999999,76.64600000000002,58.9665,742.3679999999999,1211.3165,439.9165,0.0,5.2725,9.613999999999999,285.0,0.0,04013014
설렁탕,600.0,422.76,10.938,0.0,18.204,52.70999999999999,86.91,449.85,725.1600000000001,432.48,0.0,4.103999999999999,22.224,219.36,0.0,04013015
알탕,700.0,424.125,49.52249999999999,14.85,6.9795,49.2075,114.426,790.9694999999999,2393.286000000001,1469.8035,0.0,7.339499999999999,3.946500000000001,610.7985000000001,0.0,04013017
연포탕,1000.0,541.19,21.64,0.0,9.2,91.65,366.68,1171.55,2307.07,2367.6,0.0,33.14000000000001,10.65,844.0,0.0,04013018
오리탕,600.0,480.822,24.156,1.032,21.636,43.21200000000001,89.10000000000001,478.584,1849.926,810.8580000000001,0.0,7.433999999999999,5.196000000000001,161.7,0.0,04013019
추어탕,700.0,338.667,24.416,1.806,11.508,37.366,1598.499,975.8980000000001,2077.152,906.871,0.0,24.703,6.797,298.48,0.0,04013020
해물탕,600.0,272.2619999999999,19.584,1.548,3.383999999999999,41.742,233.742,554.8800000000001,2071.986,1218.54,0.0,8.021999999999998,7.883999999999998,350.22,0.0,04013021
